Episode,Time Taken,Average Rewards,Rewards,Variance
1,1829821.8082901998,-2.0200000000000014,-2.0200000000000014,0.010902886679040014
2,2744732.7376117,-2.0200000000000014,-2.0200000000000014,0.005451443339520007
3,3659643.7022394,-2.0200000000000014,-2.0200000000000014,0.0036342955596800047
4,4574554.827508899,-2.0200000000000014,-2.0200000000000014,0.0027257216697600035
5,5489465.9860224,-2.0200000000000014,-2.0200000000000014,0.002180577335808003
6,6404377.1693025995,-2.0200000000000014,-2.0200000000000014,0.0018171477798400023
7,7319288.373360899,-2.0200000000000014,-2.0200000000000014,0.0015575552398628591
8,8234199.584245299,-1.7100000000000013,0.45999999999999985,0.0013628608348800017
9,9149110.801142799,-1.4466666666666679,0.6599999999999999,0.0012114318532266681
10,10064022.026266498,-1.2580000000000011,0.43999999999999984,0.0010902886679040014
11,10978933.258881599,-1.090909090909092,0.5799999999999998,0.0009911715162763649
12,11893844.505342498,-0.9466666666666675,0.6399999999999999,0.0009085738899200012
13,12808755.757728899,-0.8230769230769238,0.6599999999999999,0.0008386835906953857
14,13723667.017201599,-0.7185714285714292,0.6399999999999999,0.0007787776199314296
15,14638578.2834819,-0.629333333333334,0.6199999999999999,0.0007268591119360009
16,15553489.5574049,-0.5487500000000006,0.6599999999999999,0.0006814304174400009
17,16468400.8367303,-0.4752941176470595,0.7,0.0006413462752376479
18,17383312.1206505,-0.4100000000000006,0.7,0.0006057159266133341
19,18298223.4122936,-0.3589473684210532,0.5599999999999998,0.000573836141002106
20,19213134.710395902,-0.31800000000000056,0.45999999999999985,0.0005451443339520007
21,20128046.014508903,-0.27333333333333387,0.6199999999999999,0.0005191850799542864
22,21042957.324737005,-0.22909090909090957,0.7,0.0004955857581381824
23,21957868.640450805,-0.19391304347826133,0.5799999999999998,0.0004740385512626093
24,22872779.963786107,-0.15916666666666712,0.6399999999999999,0.0004542869449600006
25,23787691.295103606,-0.13360000000000044,0.47999999999999987,0.0004361154671616006
26,24702602.635308005,-0.10846153846153889,0.5199999999999998,0.00041934179534769287
27,25617513.983627405,-0.08962962962963004,0.3999999999999998,0.0004038106177422227
28,26532425.340817504,-0.06214285714285754,0.6799999999999999,0.0003893888099657148
29,27447336.710375804,-0.03724137931034521,0.6599999999999999,0.0003759616096220695
30,28362248.086689904,-0.014000000000000375,0.6599999999999999,0.00036342955596800044
31,29277159.468492303,0.005161290322580277,0.5799999999999998,0.0003517060219045166
32,30192070.8613407,0.02499999999999964,0.6399999999999999,0.00034071520872000044
33,31106982.265142,0.04424242424242389,0.6599999999999999,0.000330390505425455
34,32021893.6744616,0.06176470588235259,0.6399999999999999,0.00032067313761882394
