Episode,Time Taken,Average Rewards,Rewards,Variance
1,1641453.0130622,-2.0200000000000014,-2.0200000000000014,0.01029303073136001
2,2462179.5439902,-2.0200000000000014,-2.0200000000000014,0.005146515365680005
3,3282906.0877445,-2.0200000000000014,-2.0200000000000014,0.00343101024378667
4,4103632.6387509,-1.380000000000001,0.5399999999999998,0.0025732576828400027
5,4924359.1979911,-1.0000000000000009,0.5199999999999998,0.002058606146272002
6,5745085.7622147,-0.7633333333333341,0.4199999999999998,0.001715505121893335
7,6565812.329523699,-0.5600000000000006,0.6599999999999999,0.0014704329616228586
8,7386538.900411299,-0.41250000000000053,0.6199999999999999,0.0012866288414200013
9,8207265.4746012995,-0.2933333333333338,0.6599999999999999,0.0011436700812622234
10,9027992.0519345,-0.19600000000000042,0.6799999999999999,0.001029303073136001
11,9848718.6325014,-0.12909090909090948,0.5399999999999998,0.0009357300664872737
12,10669445.2161978,-0.07000000000000038,0.5799999999999998,0.0008577525609466675
13,11490171.8035469,-0.01692307692307728,0.6199999999999999,0.0007917715947200008
14,12310898.3941445,0.03285714285714252,0.6799999999999999,0.0007352164808114293
15,13131624.9881546,0.06399999999999968,0.4999999999999999,0.000686202048757334
16,13952351.5854411,0.0974999999999997,0.5999999999999999,0.0006433144207100007
17,14773078.1861533,0.12235294117647028,0.5199999999999998,0.0006054723959623535
18,15593804.7901485,0.14777777777777748,0.5799999999999998,0.0005718350406311117
19,16414531.3974289,0.17263157894736816,0.6199999999999999,0.0005417384595452638
20,17235258.0080572,0.19199999999999973,0.5599999999999998,0.0005146515365680005
21,18055984.621744998,0.21333333333333307,0.6399999999999999,0.0004901443205409529
22,18876711.238840997,0.23272727272727245,0.6399999999999999,0.00046786503324363683
23,19697437.858902097,0.2513043478260867,0.6599999999999999,0.0004475230752765222
24,20518164.482221898,0.2633333333333331,0.5399999999999998,0.00042887628047333376
25,21338891.108983997,0.27679999999999977,0.5999999999999999,0.00041172122925440044
26,22159617.739001796,0.2884615384615382,0.5799999999999998,0.0003958857973600004
27,22980344.372168697,0.29999999999999977,0.5999999999999999,0.00038122336042074114
28,23801071.0087391,0.30499999999999977,0.43999999999999984,0.00036760824040571466
29,24621797.6484663,0.31517241379310323,0.5999999999999999,0.00035493209418482793
30,25442524.2915067,0.3259999999999998,0.6399999999999999,0.000343101024378667
31,26263250.937534202,0.3374193548387095,0.6799999999999999,0.00033203324939871004
32,27083977.5867724,0.3456249999999998,0.5999999999999999,0.00032165721035500033
33,27904704.2391247,0.35212121212121195,0.5599999999999998,0.00031191002216242455
34,28725430.894416902,0.3623529411764704,0.7,0.00030273619798117676
