Episode,Gamma,Tolerances,Initial Policy,Average time,Average reward
1000,0.7,0.005,2,1396.9443637567954,0.5840199999999999
5000,0.7,0.005,2,1398.5598895049172,0.5839399999999999
10000,0.7,0.005,2,1405.248520121169,0.5840879999999998
100,0.7,0.005,3,1423.8066336980203,0.5977999999999999
500,0.7,0.005,3,1412.8045263460922,0.5851199999999999
1000,0.7,0.005,3,1412.0801738985965,0.5840199999999999
5000,0.7,0.005,3,1413.6845625689912,0.5839399999999999
10000,0.7,0.005,3,1420.3609122528433,0.5840879999999998
100,0.7,0.005,4,1439.0604378825703,0.5977999999999999
500,0.7,0.005,4,1427.939000627475,0.5851199999999999
1000,0.7,0.005,4,1427.2022776038364,0.5840199999999999
5000,0.7,0.005,4,1428.7983810959872,0.5839399999999999
10000,0.7,0.005,4,1435.4786957247313,0.5840879999999998
100,0.7,0.001,0,1454.3325364430202,0.5977999999999999
500,0.7,0.001,0,1443.0899795891683,0.5851199999999999
1000,0.7,0.001,0,1442.336107362628,0.5840199999999999
5000,0.7,0.001,0,1443.911524777341,0.5839399999999999
10000,0.7,0.001,0,1450.5807545695645,0.5840879999999998
100,0.7,0.001,1,1469.5747378509102,0.5977999999999999
500,0.7,0.001,1,1458.2104086513189,0.5851199999999999
1000,0.7,0.001,1,1457.4400768702612,0.5840199999999999
5000,0.7,0.001,1,1459.0021309393758,0.5839399999999999
10000,0.7,0.001,1,1465.6744058286922,0.5840879999999998
100,0.7,0.001,2,1484.8233805442399,0.5977999999999999
500,0.7,0.001,2,1473.3386438490732,0.5851199999999999
1000,0.7,0.001,2,1472.5588568042501,0.5840199999999999
5000,0.7,0.001,2,1474.1281897280517,0.5839399999999999
10000,0.7,0.001,2,1480.8056558251162,0.5840879999999998
100,0.7,0.001,3,1500.1069556842406,0.5977999999999999
500,0.7,0.001,3,1488.5020371096546,0.5851199999999999
1000,0.7,0.001,3,1487.7037701604092,0.5840199999999999
5000,0.7,0.001,3,1489.2486032004338,0.5839399999999999
10000,0.7,0.001,3,1495.926200921058,0.5840879999999998
100,0.7,0.001,4,1515.3806107955202,0.5977999999999999
500,0.7,0.001,4,1503.6537510414933,0.5851199999999999
1000,0.7,0.001,4,1502.8383719751725,0.5840199999999999
5000,0.7,0.001,4,1504.3825134956198,0.5839399999999999
10000,0.7,0.001,4,1511.0641020459607,0.5840879999999998
100,0.75,0.1,0,1530.66645989299,0.5977999999999999
500,0.75,0.1,0,1518.8163663500732,0.5851199999999999
1000,0.75,0.1,0,1517.9845982150382,0.5840199999999999
5000,0.75,0.1,0,1519.506893600207,0.5839399999999999
10000,0.75,0.1,0,1526.1831225878461,0.5840879999999998
100,0.75,0.1,1,1545.9318790221694,0.5977999999999999
500,0.75,0.1,1,1533.9619730555185,0.5851199999999999
1000,0.75,0.1,1,1533.1161483879255,0.5840199999999999
5000,0.75,0.1,1,1534.6182693631963,0.5839399999999999
10000,0.75,0.1,1,1541.2866658310695,0.5840879999999998
100,0.75,0.1,2,1561.18878307675,0.5977999999999999
500,0.75,0.1,2,1549.0975941187808,0.5851199999999999
1000,0.75,0.1,2,1548.2362431654633,0.5840199999999999
5000,0.75,0.1,2,1549.723638621203,0.5839399999999999
10000,0.75,0.1,2,1556.339686293002,0.5840879999999998
100,0.75,0.1,3,1576.3511012021502,0.5977999999999999
500,0.75,0.1,3,1564.1384343673087,0.5851199999999999
1000,0.75,0.1,3,1563.2576672645885,0.5840199999999999
5000,0.75,0.1,3,1564.7394532044843,0.5839399999999999
10000,0.75,0.1,3,1571.4418307488058,0.5840879999999998
100,0.75,0.1,4,1591.6593979142601,0.5977999999999999
500,0.75,0.1,4,1579.3273145642252,0.5851199999999999
1000,0.75,0.1,4,1578.4360375051265,0.5840199999999999
5000,0.75,0.1,4,1579.9105935027121,0.5839399999999999
10000,0.75,0.1,4,1586.595583908826,0.5840879999999998
100,0.75,0.05,0,1606.960630800521,0.5977999999999999
500,0.75,0.05,0,1594.5073705606517,0.5851199999999999
1000,0.75,0.05,0,1593.601959305004,0.5840199999999999
5000,0.75,0.05,0,1595.0704830106565,0.5839399999999999
10000,0.75,0.05,0,1601.7644945223885,0.5840879999999998
100,0.75,0.05,1,1622.2773682930406,0.5977999999999999
500,0.75,0.05,1,1609.703463247923,0.5851199999999999
1000,0.75,0.05,1,1608.783209067531,0.5840199999999999
5000,0.75,0.05,1,1610.2343352607722,0.5839399999999999
10000,0.75,0.05,1,1616.8551345626709,0.5840879999999998
100,0.75,0.05,2,1637.4735725505107,0.5977999999999999
500,0.75,0.05,2,1624.7773751009913,0.5851199999999999
1000,0.75,0.05,2,1623.836562840579,0.5840199999999999
5000,0.75,0.05,2,1625.2595500840691,0.5839399999999999
10000,0.75,0.05,2,1631.8868458741597,0.5840879999999998
100,0.75,0.05,3,1652.6617483775597,0.5977999999999999
500,0.75,0.05,3,1639.8454588938341,0.5851199999999999
1000,0.75,0.05,3,1638.890173825883,0.5840199999999999
5000,0.75,0.05,3,1640.296203289743,0.5839399999999999
10000,0.75,0.05,3,1646.9512809174848,0.5840879999999998
100,0.75,0.05,4,1667.9800057629702,0.5977999999999999
500,0.75,0.05,4,1655.0440619773383,0.5851199999999999
1000,0.75,0.05,4,1654.0789418112875,0.5840199999999999
5000,0.75,0.05,4,1655.4985383892097,0.5839399999999999
10000,0.75,0.05,4,1662.2123127470886,0.5840879999999998
100,0.75,0.01,0,1683.3319229109102,0.5977999999999999
500,0.75,0.01,0,1670.2745543797419,0.5851199999999999
1000,0.75,0.01,0,1669.2934871285415,0.5840199999999999
5000,0.75,0.01,0,1670.698771278902,0.5839399999999999
10000,0.75,0.01,0,1677.372163241401,0.5840879999999998
100,0.75,0.01,1,1698.63712077256,0.5977999999999999
500,0.75,0.01,1,1685.4589448441593,0.5851199999999999
1000,0.75,0.01,1,1684.4638116763724,0.5840199999999999
5000,0.75,0.01,1,1685.8573908947192,0.5839399999999999
10000,0.75,0.01,1,1692.541044195259,0.5840879999999998
100,0.75,0.01,2,1713.9577111488302,0.5977999999999999
500,0.75,0.01,2,1700.6583328586803,0.5851199999999999
1000,0.75,0.01,2,1699.6484677360654,0.5840199999999999
5000,0.75,0.01,2,1701.0343563162069,0.5839399999999999
10000,0.75,0.01,2,1707.7294253854402,0.5840879999999998
100,0.75,0.01,3,1729.2987357996492,0.5977999999999999
500,0.75,0.01,3,1715.875632903736,0.5851199999999999
1000,0.75,0.01,3,1714.8522838160345,0.5840199999999999
5000,0.75,0.01,3,1716.23033278698,0.5839399999999999
10000,0.75,0.01,3,1722.9149359091464,0.5840879999999998
100,0.75,0.01,4,1744.6386911838106,0.5977999999999999
500,0.75,0.01,4,1731.0965981374848,0.5851199999999999
1000,0.75,0.01,4,1730.0552504632365,0.5840199999999999
5000,0.75,0.01,4,1731.4103003837529,0.5839399999999999
10000,0.75,0.01,4,1738.072084454361,0.5840879999999998
100,0.75,0.005,0,1759.9165137563507,0.5977999999999999
500,0.75,0.005,0,1746.252838222923,0.5851199999999999
1000,0.75,0.005,0,1745.1965210674196,0.5840199999999999
5000,0.75,0.005,0,1746.5471407264245,0.5839399999999999
10000,0.75,0.005,0,1753.2330582377012,0.5840879999999998
100,0.75,0.005,1,1775.2545028809495,0.5977999999999999
500,0.75,0.005,1,1761.4699433422545,0.5851199999999999
1000,0.75,0.005,1,1760.3991741300074,0.5840199999999999
5000,0.75,0.005,1,1761.7291399391274,0.5839399999999999
10000,0.75,0.005,1,1768.3829936578545,0.5840879999999998
100,0.75,0.005,2,1790.5365882509004,0.5977999999999999
500,0.75,0.005,2,1776.6309582539884,0.5851199999999999
1000,0.75,0.005,2,1775.5449398225412,0.5840199999999999
5000,0.75,0.005,2,1776.861551549514,0.5839399999999999
10000,0.75,0.005,2,1783.535288457683,0.5840879999999998
100,0.75,0.005,3,1805.8471231113692,0.5977999999999999
500,0.75,0.005,3,1791.8203322599925,0.5851199999999999
1000,0.75,0.005,3,1790.719847865132,0.5840199999999999
5000,0.75,0.005,3,1792.0637751707818,0.5839399999999999
10000,0.75,0.005,3,1798.7685124537888,0.5840879999999998
100,0.75,0.005,4,1821.2454134404898,0.5977999999999999
500,0.75,0.005,4,1807.0970623991664,0.5851199999999999
1000,0.75,0.005,4,1805.9839812953744,0.5840199999999999
5000,0.75,0.005,4,1807.2881630314328,0.5839399999999999
10000,0.75,0.005,4,1813.9642860343113,0.5840879999999998
100,0.75,0.001,0,1836.56372809009,0.5977999999999999
500,0.75,0.001,0,1822.2922886889328,0.5851199999999999
1000,0.75,0.001,0,1821.1565354307954,0.5840199999999999
5000,0.75,0.001,0,1822.419876634153,0.5839399999999999
10000,0.75,0.001,0,1829.0607427317273,0.5840879999999998
100,0.75,0.001,1,1851.8283989342694,0.5977999999999999
500,0.75,0.001,1,1837.4374651199116,0.5851199999999999
1000,0.75,0.001,1,1836.29102999821,0.5840199999999999
5000,0.75,0.001,1,1837.5648629510827,0.5839399999999999
10000,0.75,0.001,1,1844.2296943458862,0.5840879999999998
100,0.75,0.001,2,1867.1361842742203,0.5977999999999999
500,0.75,0.001,2,1852.6233428928456,0.5851199999999999
1000,0.75,0.001,2,1851.4602387071757,0.5840199999999999
5000,0.75,0.001,2,1852.7174973674707,0.5839399999999999
10000,0.75,0.001,2,1859.3745919489822,0.5840879999999998
100,0.75,0.001,3,1882.43312345882,0.5977999999999999
500,0.75,0.001,3,1867.7992443796873,0.5851199999999999
1000,0.75,0.001,3,1866.621375224623,0.5840199999999999
5000,0.75,0.001,3,1867.8660588804416,0.5839399999999999
10000,0.75,0.001,3,1874.5195432271596,0.5840879999999998
100,0.75,0.001,4,1897.72771340091,0.5977999999999999
500,0.75,0.001,4,1882.9734206921025,0.5851199999999999
1000,0.75,0.001,4,1881.7823565336992,0.5840199999999999
5000,0.75,0.001,4,1883.0185688844547,0.5839399999999999
10000,0.75,0.001,4,1889.689890008359,0.5840879999999998
100,0.8,0.1,0,1913.0541718654904,0.5977999999999999
500,0.8,0.1,0,1898.1770354941739,0.5851199999999999
1000,0.8,0.1,0,1896.969838619504,0.5840199999999999
5000,0.8,0.1,0,1898.1926194924354,0.5839399999999999
10000,0.8,0.1,0,1904.8468250262383,0.5840879999999998
100,0.8,0.1,1,1928.3635864280297,0.5977999999999999
500,0.8,0.1,1,1913.3650088972506,0.5851199999999999
1000,0.8,0.1,1,1912.142124884715,0.5840199999999999
5000,0.8,0.1,1,1913.3549047251468,0.5839399999999999
10000,0.8,0.1,1,1920.0204936605576,0.5840879999999998
100,0.8,0.1,2,1943.6958740426196,0.5977999999999999
500,0.8,0.1,2,1928.5753544150843,0.5851199999999999
1000,0.8,0.1,2,1927.3376768653345,0.5840199999999999
5000,0.8,0.1,2,1928.5436968433385,0.5839399999999999
10000,0.8,0.1,2,1935.2196106530894,0.5840879999999998
100,0.8,0.1,3,1959.0456515629892,0.5977999999999999
500,0.8,0.1,3,1943.8045210782568,0.5851199999999999
1000,0.8,0.1,3,1942.5517397613692,0.5840199999999999
5000,0.8,0.1,3,1943.7425411224235,0.5839399999999999
10000,0.8,0.1,3,1950.4107676768929,0.5840879999999998
100,0.8,0.1,4,1974.3767950275692,0.5977999999999999
500,0.8,0.1,4,1959.0142520234779,0.5851199999999999
1000,0.8,0.1,4,1957.745079224492,0.5840199999999999
5000,0.8,0.1,4,1958.914027093865,0.5839399999999999
10000,0.8,0.1,4,1965.5542902335112,0.5840879999999998
100,0.8,0.05,0,1989.6710680513395,0.5977999999999999
500,0.8,0.05,0,1974.186537348749,0.5851199999999999
1000,0.8,0.05,0,1972.9007911513322,0.5840199999999999
5000,0.8,0.05,0,1974.059257760141,0.5839399999999999
10000,0.8,0.05,0,1980.700331116272,0.5840879999999998
100,0.8,0.05,1,2004.9600039683794,0.5977999999999999
500,0.8,0.05,1,1989.3550230067478,0.5851199999999999
1000,0.8,0.05,1,1988.055513333196,0.5840199999999999
5000,0.8,0.05,1,1989.200003662346,0.5839399999999999
10000,0.8,0.05,1,1995.851508519055,0.5840879999999998
100,0.8,0.05,2,2020.26668812722,0.5977999999999999
500,0.8,0.05,2,2004.5395797651665,0.5851199999999999
1000,0.8,0.05,2,2003.2243183323938,0.5840199999999999
5000,0.8,0.05,2,2004.3634268066917,0.5839399999999999
10000,0.8,0.05,2,2011.0309941225876,0.5840879999999998
100,0.8,0.05,3,2035.6128105746998,0.5977999999999999
500,0.8,0.05,3,2019.7646561920014,0.5851199999999999
1000,0.8,0.05,3,2018.435579063004,0.5840199999999999
5000,0.8,0.05,3,2019.5684621329383,0.5839399999999999
10000,0.8,0.05,3,2026.2276670725803,0.5840879999999998
100,0.8,0.05,4,2050.9485280917693,0.5977999999999999
500,0.8,0.05,4,2034.9793296019984,0.5851199999999999
1000,0.8,0.05,4,2033.6355727382513,0.5840199999999999
5000,0.8,0.05,4,2034.7472898028068,0.5839399999999999
10000,0.8,0.05,4,2041.3794196038752,0.5840879999999998
100,0.8,0.01,0,2066.2406448133697,0.5977999999999999
500,0.8,0.01,0,2050.150358322585,0.5851199999999999
1000,0.8,0.01,0,2048.7908626285503,0.5840199999999999
5000,0.8,0.01,0,2049.8979009235436,0.5839399999999999
10000,0.8,0.01,0,2056.549369411839,0.5840879999999998
100,0.8,0.01,1,2081.55904812213,0.5977999999999999
500,0.8,0.01,1,2065.34848245158,0.5851199999999999
1000,0.8,0.01,1,2063.9745154567345,0.5840199999999999
5000,0.8,0.01,1,2065.067933723692,0.5839399999999999
10000,0.8,0.01,1,2071.6965523090894,0.5840879999999998
100,0.8,0.01,2,2096.842327395529,0.5977999999999999
500,0.8,0.01,2,2080.5106152967533,0.5851199999999999
1000,0.8,0.01,2,2079.1206009875004,0.5840199999999999
5000,0.8,0.01,2,2080.197995163209,0.5839399999999999
10000,0.8,0.01,2,2086.8255590662234,0.5840879999999998
100,0.8,0.01,3,2112.141526227169,0.5977999999999999
500,0.8,0.01,3,2095.6893866028354,0.5851199999999999
1000,0.8,0.01,3,2094.286550746303,0.5840199999999999
5000,0.8,0.01,3,2095.3713882382854,0.5839399999999999
10000,0.8,0.01,3,2102.0329531654097,0.5840879999999998
100,0.8,0.01,4,2127.49769622511,0.5977999999999999
500,0.8,0.01,4,2110.9227832705706,0.5851199999999999
1000,0.8,0.01,4,2109.5039253509176,0.5840199999999999
5000,0.8,0.01,4,2110.562936698612,0.5839399999999999
10000,0.8,0.01,4,2117.2083819122613,0.5840879999999998
100,0.8,0.005,0,2142.835115320041,0.5977999999999999
500,0.8,0.005,0,2126.138938869181,0.5851199999999999
1000,0.8,0.005,0,2124.703886009436,0.5840199999999999
5000,0.8,0.005,0,2125.745473448713,0.5839399999999999
10000,0.8,0.005,0,2132.381841837761,0.5840879999999998
100,0.8,0.005,1,2158.15252748301,0.5977999999999999
500,0.8,0.005,1,2141.3357827563145,0.5851199999999999
1000,0.8,0.005,1,2139.886759485716,0.5840199999999999
5000,0.8,0.005,1,2140.9119857102487,0.5839399999999999
10000,0.8,0.005,1,2147.547472467668,0.5840879999999998
100,0.8,0.005,2,2173.4682488305,0.5977999999999999
500,0.8,0.005,2,2156.5291793506676,0.5851199999999999
1000,0.8,0.005,2,2155.063844574253,0.5840199999999999
5000,0.8,0.005,2,2156.082723708956,0.5839399999999999
10000,0.8,0.005,2,2162.708408618025,0.5840879999999998
100,0.8,0.005,3,2188.7744231196803,0.5977999999999999
500,0.8,0.005,3,2171.715117979179,0.5851199999999999
1000,0.8,0.005,3,2170.236317779393,0.5840199999999999
5000,0.8,0.005,3,2171.2424825077856,0.5839399999999999
10000,0.8,0.005,3,2177.8718832486675,0.5840879999999998
100,0.8,0.005,4,2204.08673415046,0.5977999999999999
500,0.8,0.005,4,2186.906012877254,0.5851199999999999
1000,0.8,0.005,4,2185.411684399995,0.5840199999999999
5000,0.8,0.005,4,2186.4033042621827,0.5839399999999999
10000,0.8,0.005,4,2192.977677594152,0.5840879999999998
100,0.8,0.001,0,2219.297746907561,0.5977999999999999
500,0.8,0.001,0,2201.9956622939903,0.5851199999999999
1000,0.8,0.001,0,2200.480882381786,0.5840199999999999
5000,0.8,0.001,0,2201.4337519316027,0.5839399999999999
10000,0.8,0.001,0,2207.9956116122657,0.5840879999999998
100,0.8,0.001,1,2234.468475500059,0.5977999999999999
500,0.8,0.001,1,2217.0462671119067,0.5851199999999999
1000,0.8,0.001,1,2215.5171279602127,0.5840199999999999
5000,0.8,0.001,1,2216.469112077688,0.5839399999999999
10000,0.8,0.001,1,2223.09513285313,0.5840879999999998
100,0.8,0.001,2,2249.7670928955104,0.5977999999999999
500,0.8,0.001,2,2232.2255300068878,0.5851199999999999
1000,0.8,0.001,2,2230.687140710663,0.5840199999999999
5000,0.8,0.001,2,2231.6761513095526,0.5839399999999999
10000,0.8,0.001,2,2238.251358269319,0.5840879999999998
100,0.8,0.001,3,2265.0308866588484,0.5977999999999999
500,0.8,0.001,3,2247.366851040645,0.5851199999999999
1000,0.8,0.001,3,2245.80820967585,0.5840199999999999
5000,0.8,0.001,3,2246.74641546892,0.5839399999999999
10000,0.8,0.001,3,2253.3801267752524,0.5840879999999998
100,0.8,0.001,4,2280.3564409371797,0.5977999999999999
500,0.8,0.001,4,2262.5719243683343,0.5851199999999999
1000,0.8,0.001,4,2261.0024942360346,0.5840199999999999
5000,0.8,0.001,4,2261.9370260939795,0.5839399999999999
10000,0.8,0.001,4,2268.5610018020893,0.5840879999999998
100,0.85,0.1,0,2295.680052510941,0.5977999999999999
500,0.85,0.1,0,2277.77284929257,0.5841999999999999
1000,0.85,0.1,0,2276.1879255539475,0.5840199999999999
5000,0.85,0.1,0,2277.1136888487654,0.5848359999999999
10000,0.85,0.1,0,2283.7444985667403,0.5848579999999999
100,0.85,0.1,1,2311.0141259679694,0.5977999999999999
500,0.85,0.1,1,2292.985236434066,0.5841999999999999
1000,0.85,0.1,1,2291.382931799712,0.5840199999999999
5000,0.85,0.1,1,2292.292935372013,0.5848359999999999
10000,0.85,0.1,1,2298.9092097548364,0.5848579999999999
100,0.85,0.1,2,2326.3246915809004,0.5977999999999999
500,0.85,0.1,2,2308.1746846274227,0.5841999999999999
1000,0.85,0.1,2,2306.5580050710937,0.5840199999999999
5000,0.85,0.1,2,2307.45351264956,0.5848359999999999
10000,0.85,0.1,2,2314.081170942602,0.5848579999999999
100,0.85,0.1,3,2341.655270490509,0.5977999999999999
500,0.85,0.1,3,2323.383781451599,0.5841999999999999
1000,0.85,0.1,3,2321.753568486356,0.5840199999999999
5000,0.85,0.1,3,2322.640713787528,0.5848359999999999
10000,0.85,0.1,3,2329.2539292550046,0.5848579999999999
100,0.85,0.1,4,2356.967622460071,0.5977999999999999
500,0.85,0.1,4,2338.5744186569036,0.5841999999999999
1000,0.85,0.1,4,2336.926924234273,0.5840199999999999
5000,0.85,0.1,4,2337.795468560223,0.5848359999999999
10000,0.85,0.1,4,2344.4058387065047,0.5848579999999999
100,0.85,0.05,0,2372.28153011049,0.5977999999999999
500,0.85,0.05,0,2353.7687682370934,0.5841999999999999
1000,0.85,0.05,0,2352.109569910953,0.5840199999999999
5000,0.85,0.05,0,2352.97219775084,0.5848359999999999
10000,0.85,0.05,0,2359.586781365646,0.5848579999999999
100,0.85,0.05,1,2387.6145607026106,0.5977999999999999
500,0.85,0.05,1,2368.9789513926794,0.5841999999999999
1000,0.85,0.05,1,2367.3028268364965,0.5840199999999999
5000,0.85,0.05,1,2368.1481631258735,0.5848359999999999
10000,0.85,0.05,1,2374.7477765690405,0.5848579999999999
100,0.85,0.05,2,2402.907024638001,0.5977999999999999
500,0.85,0.05,2,2384.1500376510667,0.5841999999999999
1000,0.85,0.05,2,2382.457208263993,0.5840199999999999
5000,0.85,0.05,2,2383.291448758015,0.5848359999999999
10000,0.85,0.05,2,2389.8989933462376,0.5848579999999999
100,0.85,0.05,3,2418.213209556329,0.5977999999999999
500,0.85,0.05,3,2399.3354478134947,0.5841999999999999
1000,0.85,0.05,3,2397.6263149135016,0.5840199999999999
5000,0.85,0.05,3,2398.4450308641804,0.5848359999999999
10000,0.85,0.05,3,2404.9866368319845,0.5848579999999999
100,0.85,0.05,4,2433.4024774971986,0.5977999999999999
500,0.85,0.05,4,2414.403213401745,0.5841999999999999
1000,0.85,0.05,4,2412.677315884286,0.5840199999999999
5000,0.85,0.05,4,2413.4664636293455,0.5848359999999999
10000,0.85,0.05,4,2420.0036503163437,0.5848579999999999
100,0.85,0.01,0,2448.5700377700896,0.5977999999999999
500,0.85,0.01,0,2429.451618108581,0.5841999999999999
1000,0.85,0.01,0,2427.7105421897936,0.5840199999999999
5000,0.85,0.01,0,2428.5180304010564,0.5848359999999999
10000,0.85,0.01,0,2435.13231658574,0.5848579999999999
100,0.85,0.01,1,2463.9025679171905,0.5977999999999999
500,0.85,0.01,1,2444.665612541148,0.5841999999999999
1000,0.85,0.01,1,2442.9159972846282,0.5840199999999999
5000,0.85,0.01,1,2443.7066869544033,0.5848359999999999
10000,0.85,0.01,1,2450.3161330371586,0.5848579999999999
100,0.85,0.01,2,2479.24083596428,0.5977999999999999
500,0.85,0.01,2,2459.8819674526544,0.5841999999999999
1000,0.85,0.01,2,2458.1170812501223,0.5840199999999999
5000,0.85,0.01,2,2458.87307596323,0.5848359999999999
10000,0.85,0.01,2,2465.416364015726,0.5848579999999999
100,0.85,0.01,3,2494.43624600757,0.5977999999999999
500,0.85,0.01,3,2474.953772173654,0.5841999999999999
1000,0.85,0.01,3,2473.1671070403672,0.5840199999999999
5000,0.85,0.01,3,2473.9807417652623,0.5848359999999999
10000,0.85,0.01,3,2480.5790645487264,0.5848579999999999
100,0.85,0.01,4,2509.794184352971,0.5977999999999999
500,0.85,0.01,4,2490.1925456219155,0.5841999999999999
1000,0.85,0.01,4,2488.3993776126135,0.5840199999999999
5000,0.85,0.01,4,2489.1323934784436,0.5848359999999999
10000,0.85,0.01,4,2495.664394905841,0.5848579999999999
100,0.85,0.005,0,2524.9883135925893,0.5977999999999999
500,0.85,0.005,0,2505.2650741510843,0.5841999999999999
1000,0.85,0.005,0,2503.448246790534,0.5840199999999999
5000,0.85,0.005,0,2504.163385469378,0.5848359999999999
10000,0.85,0.005,0,2510.686061792726,0.5848579999999999
100,0.85,0.005,1,2540.1451138367697,0.5977999999999999
500,0.85,0.005,1,2520.3019015144414,0.5841999999999999
1000,0.85,0.005,1,2518.4706271490177,0.5840199999999999
5000,0.85,0.005,1,2519.1754224717934,0.5848359999999999
10000,0.85,0.005,1,2525.70887731303,0.5848579999999999
100,0.85,0.005,2,2555.3289187042897,0.5977999999999999
500,0.85,0.005,2,2535.365967941897,0.5841999999999999
1000,0.85,0.005,2,2533.5223500482102,0.5840199999999999
5000,0.85,0.005,2,2534.2128245807694,0.5848359999999999
10000,0.85,0.005,2,2540.748550232335,0.5848579999999999
100,0.85,0.005,3,2570.5221480367495,0.5977999999999999
500,0.85,0.005,3,2550.4385881796743,0.5841999999999999
1000,0.85,0.005,3,2548.583000892787,0.5840199999999999
5000,0.85,0.005,3,2549.295069258008,0.5848359999999999
10000,0.85,0.005,3,2555.8938714303167,0.5848579999999999
100,0.85,0.005,4,2585.8542216271903,0.5977999999999999
500,0.85,0.005,4,2565.6513228240087,0.5841999999999999
1000,0.85,0.005,4,2563.7810389532815,0.5840199999999999
5000,0.85,0.005,4,2564.469040788948,0.5848359999999999
10000,0.85,0.005,4,2571.059776518669,0.5848579999999999
100,0.85,0.001,0,2601.180862631341,0.5977999999999999
500,0.85,0.001,0,2580.857002445848,0.5841999999999999
1000,0.85,0.001,0,2578.9722925127917,0.5840199999999999
5000,0.85,0.001,0,2579.657425664461,0.5848359999999999
10000,0.85,0.001,0,2586.2519006138327,0.5848579999999999
100,0.85,0.001,1,2616.5134494954787,0.5977999999999999
500,0.85,0.001,1,2596.070946886594,0.5841999999999999
1000,0.85,0.001,1,2594.173164268458,0.5840199999999999
5000,0.85,0.001,1,2594.843585928958,0.5848359999999999
10000,0.85,0.001,1,2601.4010026890082,0.5848579999999999
100,0.85,0.001,2,2631.7721192159097,0.5977999999999999
500,0.85,0.001,2,2611.2089208755788,0.5841999999999999
1000,0.85,0.001,2,2609.3034593265984,0.5840199999999999
5000,0.85,0.001,2,2609.9594249484135,0.5848359999999999
10000,0.85,0.001,2,2616.5309427983575,0.5848579999999999
100,0.85,0.001,3,2647.085019374639,0.5977999999999999
500,0.85,0.001,3,2626.3980351883993,0.5841999999999999
1000,0.85,0.001,3,2624.467526362606,0.5840199999999999
5000,0.85,0.001,3,2625.105978496279,0.5848359999999999
10000,0.85,0.001,3,2631.688314937941,0.5848579999999999
100,0.85,0.001,4,2662.4056408347114,0.5977999999999999
500,0.85,0.001,4,2641.5973064452646,0.5841999999999999
1000,0.85,0.001,4,2639.6526808527915,0.5840199999999999
5000,0.85,0.001,4,2640.285813324505,0.5848359999999999
10000,0.85,0.001,4,2646.8715872463113,0.5848579999999999
100,0.9,0.1,0,2677.7360170951088,0.5977999999999999
500,0.9,0.1,0,2656.804364321586,0.5841999999999999
1000,0.9,0.1,0,2654.844078143652,0.5840199999999999
5000,0.9,0.1,0,2655.4675826591383,0.5848359999999999
10000,0.9,0.1,0,2662.075096125455,0.5848579999999999
100,0.9,0.1,1,2693.1039224754704,0.5977999999999999
500,0.9,0.1,1,2672.082235512904,0.5841999999999999
1000,0.9,0.1,1,2670.1182306704122,0.5840199999999999
5000,0.9,0.1,1,2670.7165370959897,0.5848359999999999
10000,0.9,0.1,1,2677.3049507853966,0.5848579999999999
100,0.9,0.1,2,2708.45588213508,0.5977999999999999
500,0.9,0.1,2,2687.2792691645554,0.5841999999999999
1000,0.9,0.1,2,2685.2818894940024,0.5840199999999999
5000,0.9,0.1,2,2685.868989280733,0.5848359999999999
10000,0.9,0.1,2,2692.423255173919,0.5848579999999999
100,0.9,0.1,3,2723.71904349759,0.5977999999999999
500,0.9,0.1,3,2702.4223976722456,0.5841999999999999
1000,0.9,0.1,3,2700.4113417326766,0.5840199999999999
5000,0.9,0.1,3,2700.9866977923552,0.5848359999999999
10000,0.9,0.1,3,2707.5396355239222,0.5848579999999999
100,0.9,0.1,4,2738.9844157913813,0.5977999999999999
500,0.9,0.1,4,2717.5666448589936,0.5841999999999999
1000,0.9,0.1,4,2715.5412896012595,0.5840199999999999
5000,0.9,0.1,4,2716.1002346309383,0.5848359999999999
10000,0.9,0.1,4,2722.645453631933,0.5848579999999999
100,0.9,0.05,0,2754.232393763001,0.5977999999999999
500,0.9,0.05,0,2732.6948977470797,0.5841999999999999
1000,0.9,0.05,0,2730.655009568624,0.5840199999999999
5000,0.9,0.05,0,2731.203347323758,0.5848359999999999
10000,0.9,0.05,0,2737.7426275064927,0.5848579999999999
100,0.9,0.05,1,2769.4829103571697,0.5977999999999999
500,0.9,0.05,1,2747.8250574792332,0.5841999999999999
1000,0.9,0.05,1,2745.7720225237517,0.5840199999999999
5000,0.9,0.05,1,2746.312399081414,0.5848359999999999
10000,0.9,0.05,1,2752.859148791193,0.5848579999999999
100,0.9,0.05,2,2784.754651879649,0.5977999999999999
500,0.9,0.05,2,2762.9751447046697,0.5841999999999999
1000,0.9,0.05,2,2760.9025207546706,0.5840199999999999
5000,0.9,0.05,2,2761.426180224726,0.5848359999999999
10000,0.9,0.05,2,2767.9770683983734,0.5848579999999999
100,0.9,0.05,3,2800.0262449188485,0.5977999999999999
500,0.9,0.05,3,2778.1254712302584,0.5841999999999999
1000,0.9,0.05,3,2776.039043922136,0.5840199999999999
5000,0.9,0.05,3,2776.5496232605515,0.5848359999999999
10000,0.9,0.05,3,2783.095308519705,0.5848579999999999
100,0.9,0.05,4,2815.2925899684196,0.5977999999999999
500,0.9,0.05,4,2793.2708938223127,0.5841999999999999
1000,0.9,0.05,4,2791.169452461284,0.5840199999999999
