Episode,Gamma,Tolerances,Initial Policy,Average time,Average reward
10000,0.55,0.05,3,132.03389793387382,0.5723459999999999
100,0.55,0.05,4,137.98803809132,0.5775999999999999
500,0.55,0.05,4,137.17010686407588,0.5719999999999998
1000,0.55,0.05,4,137.72156325484823,0.5693799999999999
5000,0.55,0.05,4,140.35118354239452,0.5719119999999999
10000,0.55,0.05,4,147.17498250439317,0.5723459999999999
100,0.55,0.01,0,153.28101664213003,0.5775999999999999
500,0.55,0.01,0,152.34322140243202,0.5719999999999998
1000,0.55,0.01,0,152.87775004687109,0.5693799999999999
5000,0.55,0.01,0,155.49633637408792,0.5719119999999999
10000,0.55,0.01,0,162.32477463002698,0.5723459999999999
100,0.55,0.01,1,168.58525175382007,0.5775999999999999
500,0.55,0.01,1,167.525892944576,0.5719999999999998
1000,0.55,0.01,1,168.04522341875614,0.5693799999999999
5000,0.55,0.01,1,170.65812741774647,0.5719119999999999
10000,0.55,0.01,1,177.48645040944655,0.5723459999999999
100,0.55,0.01,2,183.89441243423988,0.5775999999999999
500,0.55,0.01,2,182.7143624199924,0.5719999999999998
1000,0.55,0.01,2,183.21975271424398,0.5693799999999999
5000,0.55,0.01,2,185.81516826498955,0.5719119999999999
10000,0.55,0.01,2,192.65018972950395,0.5723459999999999
100,0.55,0.01,3,199.21732345677,0.5775999999999999
500,0.55,0.01,3,197.91479276723803,0.5719999999999998
1000,0.55,0.01,3,198.40360677979493,0.5693799999999999
5000,0.55,0.01,3,200.97463550196161,0.5719119999999999
10000,0.55,0.01,3,207.78051661995715,0.5723459999999999
100,0.55,0.01,4,214.47881029921996,0.5775999999999999
500,0.55,0.01,4,213.0556663582981,0.5719999999999998
1000,0.55,0.01,4,213.52976051007587,0.5693799999999999
5000,0.55,0.01,4,216.09764553493144,0.5719119999999999
10000,0.55,0.01,4,222.89672442633199,0.5723459999999999
100,0.55,0.005,0,229.73731089260008,0.5775999999999999
500,0.55,0.005,0,228.19320110684194,0.5719999999999998
1000,0.55,0.005,0,228.65294210892046,0.5693799999999999
5000,0.55,0.005,0,231.2118853142417,0.5719119999999999
10000,0.55,0.005,0,238.04308157368885,0.5723459999999999
100,0.55,0.005,1,245.05371643587998,0.5775999999999999
500,0.55,0.005,1,243.38933243225586,0.5719999999999998
1000,0.55,0.005,1,243.83462258504883,0.5693799999999999
5000,0.55,0.005,1,246.382020047693,0.5719119999999999
10000,0.55,0.005,1,253.20269556610006,0.5723459999999999
100,0.55,0.005,2,260.36531800509,0.5775999999999999
500,0.55,0.005,2,258.57931089582985,0.5719999999999998
1000,0.55,0.005,2,259.0075384492558,0.5693799999999999
5000,0.55,0.005,2,261.5446258576972,0.5719119999999999
10000,0.55,0.005,2,268.36834770346275,0.5723459999999999
100,0.55,0.005,3,275.6879000005099,0.5775999999999999
500,0.55,0.005,3,273.7888197404078,0.5719999999999998
1000,0.55,0.005,3,274.20901249317325,0.5693799999999999
5000,0.55,0.005,3,276.7472327443237,0.5719119999999999
10000,0.55,0.005,3,283.6011362901146,0.5723459999999999
100,0.55,0.005,4,291.0833729396301,0.5775999999999999
500,0.55,0.005,4,289.0543979286722,0.5719999999999998
1000,0.55,0.005,4,289.45561084904057,0.5693799999999999
5000,0.55,0.005,4,291.97870091169585,0.5719119999999999
10000,0.55,0.005,4,298.8261530473311,0.5723459999999999
100,0.55,0.001,0,306.46202867965,0.5775999999999999
500,0.55,0.001,0,304.31234491000214,0.5719999999999998
1000,0.55,0.001,0,304.69997598662724,0.5693799999999999
5000,0.55,0.001,0,307.21074400508667,0.5719119999999999
10000,0.55,0.001,0,314.05649722151225,0.5723459999999999
100,0.55,0.001,1,321.83949689051,0.5775999999999999
500,0.55,0.001,1,319.5673571681039,0.5719999999999998
1000,0.55,0.001,1,319.9387018454353,0.5693799999999999
5000,0.55,0.001,1,322.43432632571773,0.5719119999999999
10000,0.55,0.001,1,329.25484027713696,0.5723459999999999
100,0.55,0.001,2,337.17230224340005,0.5775999999999999
500,0.55,0.001,2,334.7785951016402,0.5719999999999998
1000,0.55,0.001,2,335.1344868035089,0.5693799999999999
5000,0.55,0.001,2,337.61590350263094,0.5719119999999999
10000,0.55,0.001,2,344.4527814178031,0.5723459999999999
100,0.55,0.001,3,352.55882497959993,0.5775999999999999
500,0.55,0.001,3,350.0460856304458,0.5719999999999998
1000,0.55,0.001,3,350.38832387294525,0.5693799999999999
5000,0.55,0.001,3,352.86089048279615,0.5719119999999999
10000,0.55,0.001,3,359.71414527960843,0.5723459999999999
100,0.55,0.001,4,367.94304149013,0.5775999999999999
500,0.55,0.001,4,365.30590973284,0.5719999999999998
1000,0.55,0.001,4,365.6313571715493,0.5693799999999999
5000,0.55,0.001,4,368.0888356206354,0.5719119999999999
10000,0.55,0.001,4,374.91371145148827,0.5723459999999999
100,0.6,0.1,0,383.28944474218997,0.5817999999999999
