Episode,Gamma,Alpha,Epsilon,Average time,Average reward
9000,0.7,0.15,0.9,366723.90824652964,0.5034933333333332
10000,0.7,0.15,0.9,366725.0391406107,0.5059759999999999
100,0.7,0.15,0.95,370358.0183253593,-2.0897999999999985
500,0.7,0.15,0.95,367424.8946459075,-0.39976
1000,0.7,0.15,0.95,367058.87668721913,0.08385999999999993
2000,0.7,0.15,0.95,366876.57081490796,0.32612999999999986
5000,0.7,0.15,0.95,366768.6044135274,0.47313999999999995
8000,0.7,0.15,0.95,366744.64542639937,0.5102249999999998
9000,0.7,0.15,0.95,366744.09721935523,0.5164088888888887
10000,0.7,0.15,0.95,366745.0770481214,0.5222439999999998
100,0.7,0.15,1.0,370378.12754907587,-2.06
500,0.7,0.15,1.0,367444.8444558004,-0.42732000000000026
1000,0.7,0.15,1.0,367078.825714503,0.06743999999999974
2000,0.7,0.15,1.0,366896.52586982533,0.3230299999999998
5000,0.7,0.15,1.0,366788.55220397346,0.47478799999999977
8000,0.7,0.15,1.0,366764.57643851306,0.5106624999999998
9000,0.7,0.15,1.0,366764.02458046575,0.5164377777777777
10000,0.7,0.15,1.0,366765.00597269536,0.5221419999999998
100,0.7,0.2,0.7,370398.26856319583,-2.0494
500,0.7,0.2,0.7,367464.8259377034,-0.2382800000000002
1000,0.7,0.2,0.7,367098.73588898464,0.1737199999999998
2000,0.7,0.2,0.7,366916.3629792938,0.3748999999999998
5000,0.7,0.2,0.7,366808.32371645415,0.49523999999999985
8000,0.7,0.2,0.7,366784.29097758105,0.5231174999999998
9000,0.7,0.2,0.7,366783.68001042545,0.5300177777777777
10000,0.7,0.2,0.7,366784.5744813035,0.5356899999999999
100,0.7,0.2,0.75,370417.9772166873,-1.9056
500,0.7,0.2,0.75,367484.34693380166,-0.24376000000000028
1000,0.7,0.2,0.75,367118.22310933383,0.15563999999999978
2000,0.7,0.2,0.75,366935.8527174327,0.3610999999999998
5000,0.7,0.2,0.75,366827.84541754395,0.48057999999999984
8000,0.7,0.2,0.75,366803.90219530225,0.5118749999999999
9000,0.7,0.2,0.75,366803.389791314,0.518162222222222
10000,0.7,0.2,0.75,366804.40567714995,0.5227819999999997
100,0.7,0.2,0.8,370438.08895969955,-1.8934000000000006
500,0.7,0.2,0.8,367504.29462173115,-0.1434000000000003
1000,0.7,0.2,0.8,367138.11742159177,0.20493999999999976
2000,0.7,0.2,0.8,366955.71318962326,0.3713499999999998
5000,0.7,0.2,0.8,366847.7221868199,0.48447999999999986
8000,0.7,0.2,0.8,366823.7728406964,0.5179574999999998
9000,0.7,0.2,0.8,366823.23151192634,0.5219377777777776
10000,0.7,0.2,0.8,366824.2336122102,0.5263859999999999
100,0.7,0.2,0.85,370458.09998350585,-1.7990000000000006
500,0.7,0.2,0.85,367524.15791495796,-0.28980000000000034
1000,0.7,0.2,0.85,367158.001327212,0.13873999999999975
2000,0.7,0.2,0.85,366975.60955534055,0.3538899999999998
5000,0.7,0.2,0.85,366867.5725026198,0.48486799999999985
8000,0.7,0.2,0.85,366843.565302465,0.5188149999999998
9000,0.7,0.2,0.85,366842.9738613699,0.5243377777777776
10000,0.7,0.2,0.85,366843.9078565456,0.5298899999999998
100,0.7,0.2,0.9,370477.9316172676,-2.0593999999999997
500,0.7,0.2,0.9,367543.83935856004,-0.2998800000000002
1000,0.7,0.2,0.9,367177.6515036112,0.13501999999999986
2000,0.7,0.2,0.9,366995.23467980814,0.3503099999999999
5000,0.7,0.2,0.9,366887.18647666194,0.4866999999999998
8000,0.7,0.2,0.9,366863.1481385237,0.5205049999999999
9000,0.7,0.2,0.9,366862.5206757131,0.5267466666666665
10000,0.7,0.2,0.9,366863.41533226776,0.5327259999999998
100,0.7,0.2,0.95,370497.5951961961,-2.0193999999999996
500,0.7,0.2,0.95,367563.3166625235,-0.2674800000000001
1000,0.7,0.2,0.95,367197.0819073601,0.14537999999999981
2000,0.7,0.2,0.95,367014.6378432618,0.36017999999999983
5000,0.7,0.2,0.95,366906.5500303484,0.4857999999999999
8000,0.7,0.2,0.95,366882.5127009774,0.5197624999999998
9000,0.7,0.2,0.95,366881.88270699634,0.5261688888888887
10000,0.7,0.2,0.95,366882.7781268576,0.5295079999999999
100,0.7,0.2,1.0,370517.19899270666,-1.9854000000000003
500,0.7,0.2,1.0,367582.7715273832,-0.30920000000000025
1000,0.7,0.2,1.0,367216.5454271238,0.1260999999999998
2000,0.7,0.2,1.0,367034.1183880389,0.3462699999999998
5000,0.7,0.2,1.0,366926.07374676847,0.47797599999999985
8000,0.7,0.2,1.0,366902.0835741557,0.5147774999999998
9000,0.7,0.2,1.0,366901.50206595333,0.5211222222222222
10000,0.7,0.2,1.0,366902.4413092801,0.5273459999999999
100,0.7,0.25,0.7,370537.0264614616,-1.9658000000000009
500,0.7,0.25,0.7,367602.4654786164,-0.24352000000000038
1000,0.7,0.25,0.7,367236.2068762711,0.16131999999999977
2000,0.7,0.25,0.7,367053.754874316,0.36867999999999984
