Episode,Gamma,Episode Length,Average time,Average reward
30000,0.6,40,700478.7516042521,-0.12517066666666682
35000,0.6,40,700493.8547121439,-0.1080954285714287
40000,0.6,40,700512.3525495145,-0.09469400000000014
45000,0.6,40,700534.0813817505,-0.08452800000000013
50000,0.6,40,700558.6951690112,-0.07185680000000012
1000,0.6,50,701258.638621843,-0.27096000000000015
5000,0.6,50,700700.2503476106,-0.23706000000000021
10000,0.6,50,700635.2195745438,-0.17171000000000017
15000,0.6,50,700619.9121600005,-0.1292813333333335
20000,0.6,50,700619.0552507145,-0.10397300000000016
25000,0.6,50,700625.6768431688,-0.08979600000000015
30000,0.6,50,700637.4392801713,-0.0811053333333335
35000,0.6,50,700653.3585178565,-0.06691657142857159
40000,0.6,50,700672.7414105058,-0.055192000000000144
45000,0.6,50,700695.2432660956,-0.044875555555555696
50000,0.6,50,700720.7234164897,-0.03686840000000014
1000,0.6,60,701421.4857296495,-0.4386200000000003
5000,0.6,60,700863.4088621989,-0.3309320000000002
10000,0.6,60,700799.252475234,-0.27493000000000023
15000,0.6,60,700785.4289324032,-0.24932800000000024
20000,0.6,60,700786.8243718825,-0.22254000000000024
25000,0.6,60,700796.1593763037,-0.20743680000000023
30000,0.6,60,700811.112030904,-0.18173866666666688
35000,0.6,60,700831.7027683547,-0.16587542857142876
40000,0.6,60,700857.7082329817,-0.1535820000000002
45000,0.6,60,700886.3408912286,-0.1409880000000002
50000,0.6,60,700918.0915062238,-0.1257640000000002
1000,0.6,70,701621.7846098435,-0.6140600000000004
5000,0.6,70,701063.8315044716,-0.2564600000000003
10000,0.6,70,700999.7211329462,-0.16401400000000027
15000,0.6,70,700985.7920294248,-0.13343333333333357
20000,0.6,70,700987.2069253434,-0.11144100000000023
25000,0.6,70,700996.0395943935,-0.09971120000000022
30000,0.6,70,701010.5380202901,-0.09276800000000021
35000,0.6,70,701030.0090244344,-0.08493885714285736
40000,0.6,70,701053.2535066757,-0.07740050000000022
45000,0.6,70,701080.2124021465,-0.06981377777777797
50000,0.6,70,701110.5943807339,-0.0637340000000002
1000,0.6,80,701814.3275873777,-0.4792000000000004
5000,0.6,80,701256.1106899049,-0.2265880000000003
10000,0.6,80,701191.9751853904,-0.13638600000000026
15000,0.6,80,701178.0414726058,-0.08784133333333356
20000,0.6,80,701178.9544651844,-0.062257000000000236
25000,0.6,80,701187.739019904,-0.054792800000000225
30000,0.6,80,701202.1995190827,-0.041018666666666884
35000,0.6,80,701221.3177463964,-0.03450628571428593
40000,0.6,80,701244.5486653073,-0.031231000000000217
45000,0.6,80,701271.7258879141,-0.029161777777777988
50000,0.6,80,701302.7054594096,-0.02569640000000021
1000,0.6,90,702007.0351589012,-0.4147000000000004
5000,0.6,90,701448.8737829936,-0.22019200000000033
10000,0.6,90,701384.9858292604,-0.11445400000000026
15000,0.6,90,701371.1049424821,-0.07851600000000024
20000,0.6,90,701372.2791814851,-0.06453900000000024
25000,0.6,90,701381.3881373288,-0.06022320000000024
30000,0.6,90,701396.455462479,-0.052932000000000236
35000,0.6,90,701416.2493500274,-0.0494531428571431
40000,0.6,90,701440.4194150203,-0.047207500000000235
45000,0.6,90,701468.7318536113,-0.04407022222222245
50000,0.6,90,701500.5748540611,-0.04138600000000023
1000,0.6,100,702205.8773342819,-0.9600200000000007
5000,0.6,100,701648.9229240773,-0.7740560000000006
10000,0.6,100,701588.6901825031,-0.6422720000000005
15000,0.6,100,701580.6719065136,-0.566958666666667
20000,0.6,100,701589.5963580741,-0.5187590000000005
25000,0.6,100,701608.5354540745,-0.47880400000000045
30000,0.6,100,701634.3382755718,-0.40866000000000047
35000,0.6,100,701665.2312350323,-0.35228914285714324
40000,0.6,100,701700.514941872,-0.3162530000000004
45000,0.6,100,701740.0865969652,-0.28524222222222256
50000,0.6,100,701783.6199614566,-0.2593568000000004
1000,0.65,10,702491.9707517725,-0.08333999999999997
5000,0.65,10,701931.1917295349,-0.05547199999999998
10000,0.65,10,701862.6383893699,-0.03662799999999998
15000,0.65,10,701841.9541634453,-0.032149333333333314
20000,0.65,10,701834.0231467935,-0.027897999999999975
25000,0.65,10,701831.7819183436,-0.024778399999999975
30000,0.65,10,701832.9288082368,-0.02304466666666664
35000,0.65,10,701836.4921092284,-0.023063428571428547
40000,0.65,10,701841.9627883104,-0.021870999999999974
45000,0.65,10,701849.0494987029,-0.020512888888888865
50000,0.65,10,701857.9306540799,-0.020449999999999975
1000,0.65,20,702551.3912009784,-0.09080000000000003
5000,0.65,20,701990.9760333278,-0.013428000000000037
10000,0.65,20,701923.3316527294,0.013651999999999965
15000,0.65,20,701904.1483907795,0.0228533333333333
20000,0.65,20,701898.2535978912,0.027014999999999963
25000,0.65,20,701898.6842258181,0.037294399999999964
30000,0.65,20,701903.1251591461,0.040143333333333295
35000,0.65,20,701910.5864461645,0.043697714285714256
40000,0.65,20,701920.4788764991,0.04644649999999997
45000,0.65,20,701932.4163319453,0.04900933333333331
50000,0.65,20,701946.3150808176,0.05186559999999998
1000,0.65,30,702642.4678782846,-0.13482000000000008
5000,0.65,30,702082.3124175525,-0.08810400000000009
10000,0.65,30,702015.5670408336,-0.03919000000000008
15000,0.65,30,701997.6790232387,-0.010761333333333406
20000,0.65,30,701993.4932636851,0.005239999999999931
25000,0.65,30,701995.9813370199,0.014579999999999933
30000,0.65,30,702002.885054609,0.0284946666666666
35000,0.65,30,702012.9982225383,0.03788228571428565
40000,0.65,30,702026.1190560467,0.04571049999999993
45000,0.65,30,702041.7570503766,0.05078311111111104
50000,0.65,30,702059.7706232667,0.05812639999999994
1000,0.65,40,702758.1541634841,-0.3622200000000002
5000,0.65,40,702198.4725231368,-0.3164840000000002
10000,0.65,40,702133.0892521803,-0.2846600000000002
15000,0.65,40,702117.4903290567,-0.2526053333333335
20000,0.65,40,702116.5347616208,-0.21900900000000015
25000,0.65,40,702123.4316496361,-0.18953760000000017
30000,0.65,40,702136.5245863285,-0.15599533333333349
35000,0.65,40,702154.275319869,-0.13009942857142873
40000,0.65,40,702173.2060196853,-0.10874550000000013
45000,0.65,40,702194.7231051737,-0.09038222222222236
50000,0.65,40,702219.1843502667,-0.07295400000000013
1000,0.65,50,702920.3511576235,-0.4399000000000002
5000,0.65,50,702360.7859710574,-0.2665320000000002
10000,0.65,50,702295.7170085269,-0.1770900000000002
15000,0.65,50,702280.378824053,-0.1319493333333335
20000,0.65,50,702279.7831112742,-0.08662000000000017
25000,0.65,50,702286.4884436902,-0.04990400000000015
30000,0.65,50,702298.0338585271,-0.023473333333333474
35000,0.65,50,702313.2325341116,0.004688571428571293
40000,0.65,50,702331.7961176783,0.027682499999999874
45000,0.65,50,702353.099734764,0.04348133333333321
50000,0.65,50,702377.1802873797,0.056028399999999874
1000,0.65,60,703078.352068273,-0.4454000000000003
5000,0.65,60,702518.9581218738,-0.2984560000000002
10000,0.65,60,702454.6259063778,-0.24423800000000023
15000,0.65,60,702440.7706072192,-0.2166626666666669
20000,0.65,60,702442.169123916,-0.2002740000000002
25000,0.65,60,702451.7621229645,-0.17444800000000021
30000,0.65,60,702466.5249724834,-0.15235733333333357
