Episode,Gamma,Average time,Average reward
2000,0.77,687857.3177701437,0.5743799999999999
5000,0.77,687665.8197831176,0.5803959999999998
10000,0.77,687628.1996864078,0.5822839999999999
100,0.78,694456.1255161151,0.4121999999999998
500,0.78,688956.7705089318,0.5474799999999997
1000,0.78,688272.3375252561,0.5654799999999999
2000,0.78,687935.2868139788,0.5743799999999999
5000,0.78,687743.7837728839,0.5803959999999998
10000,0.78,687708.9785619829,0.5822839999999999
100,0.79,694544.5775411453,0.4121999999999998
500,0.79,689044.968729749,0.5474799999999997
1000,0.79,688360.5119679554,0.5654799999999999
2000,0.79,688022.9177016463,0.5743799999999999
5000,0.79,687831.3514236213,0.5803959999999998
10000,0.79,687794.8417001411,0.5822839999999999
100,0.8,694625.9388103952,0.4121999999999998
500,0.8,689125.2786676232,0.5474799999999997
1000,0.8,688440.7172547145,0.5654799999999999
2000,0.8,688103.1655112796,0.5743799999999999
5000,0.8,687912.3937508293,0.5803959999999998
10000,0.8,687880.9323924355,0.5822839999999999
100,0.81,694718.888410343,0.4121999999999998
500,0.81,689217.8326649433,0.5474799999999997
1000,0.81,688534.0479421121,0.5654799999999999
2000,0.81,688198.5368642455,0.5743799999999999
5000,0.81,688012.1484592013,0.5803959999999998
10000,0.81,687976.8283067544,0.5822839999999999
100,0.8200000000000001,694812.0973658613,0.4121999999999998
500,0.8200000000000001,689310.3299060999,0.5474799999999997
1000,0.8200000000000001,688626.4331861909,0.5654799999999999
2000,0.8200000000000001,688289.9727379993,0.5743799999999999
5000,0.8200000000000001,688098.3856610316,0.5803959999999998
10000,0.8200000000000001,688061.0592669167,0.5822839999999999
100,0.8300000000000001,694893.6611674002,0.4121999999999998
500,0.8300000000000001,689390.8628401116,0.5474799999999997
1000,0.8300000000000001,688706.1109411439,0.5654799999999999
2000,0.8300000000000001,688368.4517898782,0.5743799999999999
5000,0.8300000000000001,688176.674405778,0.5803959999999998
10000,0.8300000000000001,688139.7013916529,0.5822839999999999
100,0.8400000000000001,694973.7166096908,0.4121999999999998
500,0.8400000000000001,689470.2697368253,0.5469199999999999
1000,0.8400000000000001,688785.3242483212,0.5654799999999998
2000,0.8400000000000001,688447.5974102712,0.5745799999999999
5000,0.8400000000000001,688255.9334488851,0.5811599999999999
10000,0.8400000000000001,688218.4585185996,0.5828919999999999
100,0.8500000000000001,695052.3645469388,0.4121999999999998
500,0.8500000000000001,689548.2906312634,0.5469199999999999
1000,0.8500000000000001,688863.3240508643,0.5654799999999998
2000,0.8500000000000001,688525.5405572014,0.5745799999999999
