Episode,Gamma,Alpha,Epsilon,Average time,Average reward
10000,0.7,0.15,0.95,361204.2729084095,0.5495439999999999
100,0.7,0.15,1.0,364782.14502515213,-1.8342
500,0.7,0.15,1.0,361893.0761153946,-0.08580000000000018
1000,0.7,0.15,1.0,361532.40296458063,0.23849999999999982
2000,0.7,0.15,1.0,361352.65297238145,0.4043299999999998
5000,0.7,0.15,1.0,361246.0319258099,0.5093119999999999
8000,0.7,0.15,1.0,361221.99195651355,0.5352424999999998
9000,0.7,0.15,1.0,361220.90321106266,0.5404222222222221
10000,0.7,0.15,1.0,361221.26866509794,0.5438679999999998
100,0.7,0.2,0.7,364799.3203391227,-1.3140000000000007
500,0.7,0.2,0.7,361910.0813775827,0.09643999999999972
1000,0.7,0.2,0.7,361549.3503417828,0.33577999999999986
2000,0.7,0.2,0.7,361369.55078355677,0.4512699999999999
5000,0.7,0.2,0.7,361262.88086843584,0.5261599999999999
8000,0.7,0.2,0.7,361238.80295997293,0.5437075
9000,0.7,0.2,0.7,361237.7140266138,0.5467599999999998
10000,0.7,0.2,0.7,361238.08749267954,0.5485439999999998
100,0.7,0.2,0.75,364816.3468073289,-1.5318000000000007
500,0.7,0.2,0.75,361926.9769468308,0.08091999999999978
1000,0.7,0.2,0.75,361566.2255340443,0.3260799999999998
2000,0.7,0.2,0.75,361386.40911090927,0.4484399999999999
5000,0.7,0.2,0.75,361279.74385535537,0.5184479999999999
8000,0.7,0.2,0.75,361255.73734377936,0.5345949999999999
9000,0.7,0.2,0.75,361254.74560576124,0.5383088888888886
10000,0.7,0.2,0.75,361255.2014706692,0.5402119999999998
100,0.7,0.2,0.8,364833.68395314395,-1.6422000000000003
500,0.7,0.2,0.8,361944.1725465724,0.024679999999999667
1000,0.7,0.2,0.8,361583.40673252987,0.30301999999999973
2000,0.7,0.2,0.8,361403.5886612171,0.43851999999999985
5000,0.7,0.2,0.8,361296.90618444595,0.5211559999999998
8000,0.7,0.2,0.8,361272.8373333692,0.5397499999999998
9000,0.7,0.2,0.8,361271.8217247297,0.5445866666666664
10000,0.7,0.2,0.8,361272.23310726474,0.5477099999999998
100,0.7,0.2,0.85,364850.8063089235,-1.610600000000001
500,0.7,0.2,0.85,361961.1774239737,0.03575999999999971
1000,0.7,0.2,0.85,361600.4076324786,0.3037399999999998
2000,0.7,0.2,0.85,361420.67076791247,0.43736999999999976
