Episode,Gamma,Alpha,Epsilon,Average time,Average reward
8000,0.7,0.3,0.9,373458.7709617473,0.4332824999999998
9000,0.7,0.3,0.9,373459.2714807352,0.44298888888888865
10000,0.7,0.3,0.9,373461.4158429079,0.4498759999999998
100,0.7,0.3,0.95,377161.5292741118,-2.0267999999999997
500,0.7,0.3,0.95,374174.52162706567,-0.46076000000000017
1000,0.7,0.3,0.95,373801.8117577048,0.032699999999999875
2000,0.7,0.3,0.95,373616.27870005235,0.2517699999999998
5000,0.7,0.3,0.95,373506.6929684401,0.4174519999999999
8000,0.7,0.3,0.95,373482.9658365751,0.43985999999999986
9000,0.7,0.3,0.95,373483.37120029744,0.4518399999999998
10000,0.7,0.3,0.95,373485.37268958107,0.4600479999999998
100,0.7,0.3,1.0,377185.7210501973,-1.9013999999999995
500,0.7,0.3,1.0,374198.48946208454,-0.2782400000000002
1000,0.7,0.3,1.0,373825.69646788447,0.14713999999999985
2000,0.7,0.3,1.0,373640.02123435494,0.3555499999999999
5000,0.7,0.3,1.0,373530.16297737847,0.47527599999999987
8000,0.7,0.3,1.0,373506.0396010445,0.5072974999999998
9000,0.7,0.3,1.0,373505.8494332471,0.5135599999999998
10000,0.7,0.3,1.0,373507.23144466965,0.5192119999999998
100,0.7,0.35,0.7,377207.4828819359,-1.7130000000000007
500,0.7,0.35,0.7,374220.0781139382,-0.2700000000000003
1000,0.7,0.35,0.7,373847.2702723298,0.11319999999999973
2000,0.7,0.35,0.7,373661.6611513143,0.3336499999999998
5000,0.7,0.35,0.7,373551.91830280045,0.43568799999999985
8000,0.7,0.35,0.7,373528.163101567,0.4551549999999998
9000,0.7,0.35,0.7,373528.6172338927,0.46682222222222197
10000,0.7,0.35,0.7,373530.55376393785,0.4758519999999998
100,0.7,0.35,0.75,377231.31098506274,-1.8998000000000002
500,0.7,0.35,0.75,374243.71680590487,-0.2912400000000001
1000,0.7,0.35,0.75,373870.87735934346,0.10977999999999984
