Episode,Time Taken,Average Rewards,Rewards,Variance
1,1829370.9959827,-2.0200000000000014,-2.0200000000000014,0.014577556336000014
2,2744056.5115863997,-2.0200000000000014,-2.0200000000000014,0.007288778168000007
3,3658742.0402471996,-2.0200000000000014,-2.0200000000000014,0.004859185445333338
4,4573427.5778185,-2.0200000000000014,-2.0200000000000014,0.0036443890840000036
5,5488113.1280365,-2.0200000000000014,-2.0200000000000014,0.002915511267200003
6,6402798.6890118,-2.0200000000000014,-2.0200000000000014,0.002429592722666669
7,7317484.2603872,-2.0200000000000014,-2.0200000000000014,0.0020825080480000023
8,8232169.8386527,-1.7100000000000013,0.45999999999999985,0.0018221945420000018
9,9146855.4205712,-1.4466666666666679,0.6599999999999999,0.0016197284817777793
10,10061541.006297601,-1.2580000000000011,0.43999999999999984,0.0014577556336000015
11,10976226.596477602,-1.090909090909092,0.5799999999999998,0.0013252323941818195
12,11890912.191965802,-0.9466666666666675,0.6399999999999999,0.0012147963613333345
13,12805597.792753201,-0.8230769230769238,0.6599999999999999,0.0011213504873846165
14,13720283.3990227,-0.7185714285714292,0.6399999999999999,0.0010412540240000011
15,14634969.010718001,-0.629333333333334,0.6199999999999999,0.0009718370890666676
16,15549654.625380302,-0.5487500000000006,0.6599999999999999,0.0009110972710000009
17,16464340.244535903,-0.4752941176470595,0.7,0.0008575033138823538
18,17379025.868902102,-0.4100000000000006,0.7,0.0008098642408888897
19,18293711.4993892,-0.3589473684210532,0.5599999999999998,0.0007672398071578955
20,19208397.134876903,-0.31800000000000056,0.45999999999999985,0.0007288778168000007
21,20123082.773448,-0.27333333333333387,0.6199999999999999,0.000694169349333334
22,21037768.4153807,-0.22909090909090957,0.7,0.0006626161970909098
23,21952454.0618934,-0.19391304347826133,0.5799999999999998,0.0006338067972173919
24,22867139.7116269,-0.15916666666666712,0.6399999999999999,0.0006073981806666673
25,23781825.3671227,-0.13360000000000044,0.47999999999999987,0.0005831022534400006
26,24696511.0283339,-0.10846153846153889,0.5199999999999998,0.0005606752436923083
27,25611196.6934615,-0.08962962962963004,0.3999999999999998,0.0005399094939259265
28,26525882.361618802,-0.06214285714285754,0.6799999999999999,0.0005206270120000006
29,27440568.032846402,-0.03724137931034521,0.6599999999999999,0.0005026743564137936
