Episode,Rewards,Average Rewards,Time Taken,Variance
1,-1.620000000000001,-1.620000000000001,1830494.3067736,0.31073039279599995
2,1.0,-0.3100000000000005,2745741.466069,0.15536519639799998
3,-1.620000000000001,-0.7466666666666674,3660988.6330370996,0.10357679759866666
4,0.6399999999999999,-0.4000000000000005,4576235.8029756,0.07768259819899999
5,-1.0,-0.5200000000000005,5491482.9731653,0.06214607855919999
6,-2.1600000000000006,-0.7933333333333339,6406730.1503628995,0.05178839879933333
7,-1.620000000000001,-0.911428571428572,7321977.336419899,0.04439005611371428
8,-1.3,-0.9600000000000005,8237224.524786799,0.038841299099499994
9,0.0,-0.8533333333333338,9152471.713461598,0.03452559919955555
10,-1.620000000000001,-0.9300000000000004,10067718.911935298,0.031073039279599996
11,-1.24,-0.9581818181818186,10982966.111790698,0.02824821752690909
12,-1.0,-0.961666666666667,11898213.311834898,0.025894199399666664
13,0.0,-0.887692307692308,12813460.512007898,0.02390233790738461
14,-1.620000000000001,-0.9400000000000004,13728707.721490597,0.02219502805685714
15,-1.04,-0.9466666666666671,14643954.931469498,0.020715359519733332
16,0.0,-0.8875000000000004,15559202.141588798,0.019420649549749997
17,0.0,-0.8352941176470592,16474449.351830898,0.018278258399764703
18,-1.620000000000001,-0.8788888888888893,17389696.568752997,0.017262799599777775
19,-1.0,-0.8852631578947372,18304943.785871595,0.01635423119978947
20,-1.620000000000001,-0.9220000000000004,19220191.010088395,0.015536519639799998
21,0.0,-0.8780952380952385,20135438.234517194,0.014796685371238093
22,-1.620000000000001,-0.9118181818181822,21050685.466175996,0.014124108763454544
23,-1.0,-0.9156521739130439,21965932.698083095,0.013510017078086954
24,-1.620000000000001,-0.9450000000000004,22881179.937710095,0.012947099699833332
25,0.0,-0.9072000000000005,23796427.177571997,0.012429215711839999
26,-1.620000000000001,-0.9346153846153851,24711674.423820198,0.011951168953692306
27,-1.0,-0.9370370370370374,25626921.670360997,0.011508533066518516
28,-1.620000000000001,-0.9614285714285719,26542168.924362898,0.01109751402842857
29,0.0,-0.928275862068966,27457416.178613298,0.01071484113089655
30,0.0,-0.8973333333333338,28372663.432993397,0.010357679759866666
31,-1.12,-0.9045161290322585,29287910.688061796,0.010023561057935483
32,0.0,-0.8762500000000004,30203157.943259895,0.009710324774874999
33,-1.620000000000001,-0.8987878787878792,31118405.205177795,0.009416072508969696
34,0.0,-0.872352941176471,32033652.467351496,0.009139129199882351
35,-1.620000000000001,-0.8937142857142861,32948899.738166597,0.008878011222742855
36,-1.6400000000000001,-0.9144444444444448,33864147.0120672,0.008631399799888887
37,-1.22,-0.922702702702703,34779394.2872302,0.008398118724216214
38,0.0,-0.8984210526315793,35694641.562571704,0.008177115599894735
39,-1.5,-0.9138461538461542,36609888.840328805,0.007967445969128203
40,0.0,-0.8910000000000003,37525136.118283905,0.007768259819899999
41,0.6599999999999999,-0.8531707317073175,38440383.3978651,0.007578790068195121
42,0.7,-0.8161904761904766,39355630.6789927,0.007398342685619046
43,0.76,-0.7795348837209306,40270877.96131451,0.007226288204558139
44,-1.620000000000001,-0.7986363636363639,41186125.25121601,0.007062054381727272
45,0.0,-0.7808888888888892,42101372.541326806,0.00690511983991111
46,0.0,-0.7639130434782612,43016619.83157831,0.006755008539043477
47,-1.620000000000001,-0.7821276595744685,43931867.128057204,0.006611284953106382
48,-0.3800000000000008,-0.7737500000000005,44847114.431111604,0.006473549849916666
49,0.94,-0.7387755102040822,45762361.73449761,0.006341436587673469
